# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: casey response
# Property: local answer
# ----------------------------------------
# 
# All Users
# Start date: 20260109
# End date: 20260205
Page path and screen class,Landing page + query string,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/,/,26,25,1.04,2.28,84,0,0
/,/?gtm_latency=1,3,3,1,0,9,0,0
/locations/flower-mound,/locations/flower-mound,1,1,1,0,3,0,0
/locations/plano,/locations/plano,1,1,1,0,3,0,0
/pro-tips,/pro-tips,1,1,1,1,4,0,0
/services/cooling/ac-repair,/,1,1,1,54,2,0,0
/services/plumbing,/services/plumbing,1,1,1,2,4,0,0
